"...1","date","mixToday","mixN2N","mixPM","mixTomorrow","twindToday","twindN2N","twindPM","twindTomorrow","swindToday","swindN2N","swindPM","swindTomorrow","precipToday","precipN2N","precipPM","precipTomorrow","tminToday","tminN2N","tminPM","tminTomorrow","tmaxToday","tmaxN2N","tmaxPM","tmaxTomorrow","ventToday","ventN2N","ventPM","created","ventTomorrow","yN2NPM","HR24PM","HR24OZ","HR24OZ_carus","HR24PMno","HR24no","humToday","humN2N","humPM","humTomorrow","cloudToday","cloudN2N","cloudPM","cloudTomorrow","peakoz8hr_carus","no2max_24"
281,2026-05-03,677.6212,673.427890909091,422.2242,606.6409,13.7048,16.8995,14.816,16.8995,9.26,10.0316666666667,8.02533333333333,9.87733333333333,0.6,0.571428571428571,0.5,0.4,23.7566137566138,22.4305555555556,26.6666666666667,19.0972222222222,23.7566137566138,22.4305555555556,26.6666666666667,19.0972222222222,9287,11381,6256,2026-05-03,10252,6.2,9.2,26.5,NA,NA,NA,49.6666666666667,57.6521739130435,45.6666666666667,66.695652173913,6.42857142857143,8,6,17.1666666666667,NA,-Inf
280,2026-05-02,465.2772,442.120421052632,332.1558,563.096228571429,10.0225882352941,12.038,11.575,12.4589090909091,5.7412,7.09933333333333,4.63,10.0008,7.92307692307692,2.75,3.33333333333333,1,18.5978835978836,19.9074074074074,22.3148148148148,22.463768115942,18.5978835978836,19.9074074074074,22.3148148148148,22.463768115942,4663,5322,3845,2026-05-02,7016,5.8,6.7,28,NA,NA,NA,66.7272727272727,63.6521739130435,59,54.0869565217391,60.0416666666667,32.05,39.1666666666667,12.8333333333333,NA,-Inf
279,2026-05-01,636.630947368421,572.9351,425.5516,448.3735,10.3182857142857,12.8096666666667,17.0384,9.93345454545454,8.24981818181818,9.26,11.4206666666667,5.86466666666667,8.2,10.4117647058824,15.5,7.22222222222222,16.8518518518519,17.1969696969697,18.9814814814815,17.7777777777778,16.8518518518519,17.1969696969697,18.9814814814815,17.7777777777778,6569,7339,7251,2026-05-01,4454,5.8,5.5,30.4,NA,NA,NA,64.5909090909091,64.4285714285714,59.1666666666667,66.0476190476191,52.7916666666667,70.1,72.1666666666667,68.3333333333333,NA,-Inf
278,2026-04-30,712.893333333333,683.10252,347.65488,557.551771428571,12.8405333333333,11.4487272727273,12.501,11.8836666666667,7.20222222222222,7.408,7.408,7.7784,0,0.666666666666667,NA,4.2,17.6515151515152,18.3080808080808,21.4814814814815,16.6931216931217,17.6515151515152,18.3080808080808,21.4814814814815,16.6931216931217,9154,7821,4346,2026-04-30,6626,4.7,5.3,31,NA,NA,NA,59.3636363636364,58.3636363636364,47.5,63.695652173913,28.75,30.2,22.8333333333333,42.9090909090909,NA,-Inf
277,2026-04-29,541.775373913043,604.167388235294,360.33456,664.6164,12.5366153846154,14.5073333333333,17.594,12.501,7.27571428571429,8.5655,8.334,7.7784,0.4,0.333333333333333,NA,NA,13.0952380952381,15.1322751322751,17.2222222222222,18.0434782608696,13.0952380952381,15.1322751322751,17.2222222222222,18.0434782608696,6792,8765,6340,2026-04-29,8308,4.2,3.7,36.2,NA,NA,NA,66.6666666666667,63,58.6666666666667,57.2857142857143,16.6190476190476,11.9444444444444,3.4,25.1666666666667,NA,-Inf
276,2026-04-28,653.3642,661.942472727273,407.7716,541.366363636364,8.92327272727273,9.39228571428571,11.575,10.4946666666667,6.019,6.58488888888889,9.26,6.17333333333333,2.375,1.5,0.5,0.333333333333333,12.843137254902,11.4285714285714,13.3333333333333,13.768115942029,12.843137254902,11.4285714285714,13.3333333333333,13.768115942029,5830,6217,4720,2026-04-28,5681,5.4,6,26.8,NA,NA,NA,67.2380952380952,68.8333333333333,59.3333333333333,66.7916666666667,66.7826086956522,36.05,38.8333333333333,10.8333333333333,NA,-Inf
275,2026-04-27,663.491542857143,672.211,376.682,731.7994,10.186,9.8156,11.112,10.186,7.81955555555556,5.96755555555556,8.02533333333333,5.82057142857143,3.46666666666667,3,4,0.4,12.7222222222222,13.4210526315789,15,13.3888888888889,12.7222222222222,13.4210526315789,15,13.3888888888889,6758,6598,4186,2026-04-27,7454,4.3,4.8,32.5,NA,NA,NA,68.1428571428571,69.125,61.3333333333333,68.3333333333333,44.8095238095238,63.2,62.8333333333333,62.3333333333333,NA,-Inf
274,2026-04-26,1028.81853333333,908.387127272727,617.1438,535.6098,9.54492307692308,11.575,10.4946666666667,10.8033333333333,4.32133333333333,6.37911111111111,4.63,8.334,1.5,1.54545454545455,1.5,1.83333333333333,13.3585858585859,13.4343434343434,16.2037037037037,11.7460317460317,13.3585858585859,13.4343434343434,16.2037037037037,11.7460317460317,9820,10515,6477,2026-04-26,5786,3.9,3.8,36.7,NA,NA,NA,52.5652173913044,59.9166666666667,46,70.75,7.43478260869565,15.2105263157895,11.3333333333333,36.0909090909091,NA,-Inf
273,2026-04-25,1128.35055,1076.16413333333,578.739,1118.79888,12.7956363636364,11.4206666666667,14.4456,9.82984615384615,9.76509090909091,8.92327272727273,9.26,5.556,0.5,1.14285714285714,0.5,1.2,12.7777777777778,12.6515151515152,15.2777777777778,12.4338624338624,12.7777777777778,12.6515151515152,15.2777777777778,12.4338624338624,14438,12291,8360,2026-04-25,10998,6.4,4.8,29.4,NA,NA,NA,45.85,49.0434782608696,42.6666666666667,51.5652173913044,8.625,7.21428571428571,4.75,11.6666666666667,NA,-Inf
272,2026-04-24,823.497028571429,905.035866666667,384.59664,969.584842105263,16.5357142857143,14.5690666666667,16.205,11.112,10.6069090909091,10.8805,12.038,8.334,0,NA,NA,NA,12.7777777777778,12.0899470899471,13.3333333333333,12.3809523809524,12.7777777777778,12.0899470899471,13.3333333333333,12.3809523809524,13617,13186,6232,2026-04-24,10774,4.4,5.7,31,NA,NA,NA,53.9473684210526,48.6666666666667,43.5,46.9047619047619,7.95238095238095,3.9375,6.83333333333333,3.8,NA,-Inf
